Total Number of Aligned Reads:	238287	Total Number of Mapped Genomes:	5022
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1236608	0.765929433359	0.580052625615	138219.0	0.580044232375	8.39324008444e-06	0.39154229704	0.319706873419	76181.9917464	0.243643169791	0.277132197728
ti|1197720	0.0673881124736	0.0450591093933	10737.0	0.0450591093933	0.0	0.0135170710334	0.00998426447176	2379.12042818	0.00232492750339	0.0416766336393
ti|1292035	0.0367833402013	0.0189645259708	4519.0	0.0189645259708	0.0	0.00438888639175	0.00259937102624	619.396323729	0.000117505361182	0.033497421177
ti|883103	0.0334885987641	0.0267072899487	6364.0	0.0267072899487	0.0	0.0313204246776	0.0256193547313	6104.75918085	0.0251377540529	0.00145203053461
ti|1122244	0.032126468474	0.0869371807946	20716.0	0.0869371807946	0.0	0.105142939912	0.152826989886	36416.684939	0.0966649460524	0.227280548246
ti|176280	0.0262799429087	0.0158548305195	3778.0	0.0158548305195	0.0	0.00543849636344	0.00372492423357	887.601020844	0.00127157587279	0.0145370918262
ti|34062	0.0106834662793	0.00822117866271	1959.0	0.00821698204266	4.19662004222e-06	0.069364421244	0.0460889417966	10982.3956739	0.0155442806364	0.131815835526
ti|214688	0.00896640585234	0.00717202365215	1709.0	0.00717202365215	0.0	0.00307185141668	0.00297727583446	709.446126766	0.00272780302744	0.00373918845762
ti|1121368	0.00614733490699	0.00470860768737	1122.0	0.00470860768737	0.0	0.00499141038509	0.00416656883219	992.839187316	0.00391964311943	0.000713425407177
ti|1256908	0.00242185897148	0.00278235908799	663.0	0.00278235908799	0.0	0.00118400124343	0.00135989564914	324.045454545	0.00134291841351	0.00124639615254
ti|70584	0.00147876914045	0.00115407051161	275.0	0.00114987389157	4.19662004222e-06	0.000204169009171	0.000133540750321	31.8210247717	0.0	0.00241305652428
ti|29433	0.00123377544482	0.0131815835526	3141.0	0.0131815835526	0.0	0.0427965787292	0.0361350526977	8610.51330218	0.00342863857449	0.148371501593
ti|1379686	0.0010105267011	0.000612706526164	146.0	0.000612706526164	0.0	0.000726859359324	0.000436867662335	104.099884655	0.0	0.0175796413569
