Total Number of Aligned Reads:	177107	Total Number of Mapped Genomes:	4980
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1236608	0.646564059123	0.416285070607	73727.0	0.416273777999	1.12926084232e-05	0.335749901776	0.228075954279	40393.8480344	0.175137064035	0.199472635187
ti|1197720	0.156231653212	0.0884267702575	15661.0	0.0884267702575	0.0	0.0318186599263	0.017744305394	3142.64069542	0.0018519877814	0.0853721196791
ti|1292035	0.0891905704236	0.0505908857357	8960.0	0.0505908857357	0.0	0.0100764957268	0.00842835423022	1492.72053265	0.000519459987465	0.0757225857815
ti|1121368	0.0269382333149	0.0157080183166	2782.0	0.0157080183166	0.0	0.02284847066	0.0141462290904	2505.39619552	0.0133252779393	0.0022923995099
ti|1122244	0.0162074750919	0.0520137543971	9212.0	0.0519968154844	1.69389126347e-05	0.0738297178672	0.0960368869886	17008.8049439	0.0597378985585	0.158011823361
ti|883103	0.0133139333808	0.00999960475871	1771.0	0.00999960475871	0.0	0.0126378041923	0.00971676321431	1720.9067826	0.00958742455126	0.00039524129481
ti|214688	0.0121703948114	0.00862190653108	1527.0	0.00862190653108	0.0	0.00386255248471	0.00341060308076	604.041679823	0.00296430971108	0.00474854184194
ti|34062	0.0108188487739	0.00641984788856	1137.0	0.00641984788856	0.0	0.0498671514863	0.0293567641124	5199.28842166	0.0104117849662	0.0852535472906
ti|1256908	0.00953642797027	0.0111232192968	1970.0	0.0111232192968	0.0	0.00469061510316	0.00527741233642	934.666666667	0.00586651007583	0.00405969272812
ti|70584	0.00373989737618	0.00221335125094	392.0	0.00221335125094	0.0	0.000474182233053	0.000285491729818	50.5625837929	1.12926084232e-05	0.0044379951103
ti|176280	0.00199738258039	0.00105585888757	187.0	0.00105585888757	0.0	0.000457990012101	0.000268829218437	47.6115363897	0.000135511301078	0.00082436041489
ti|1177179	0.00173420239858	0.00407663164076	722.0	0.00407663164076	0.0	0.00555400139901	0.00804613546878	1425.02691447	0.00883081978691	0.00729502504136
ti|29433	0.00143698005589	0.0102254569272	1811.0	0.0102254569272	0.0	0.0407985644285	0.0288788499435	5114.64647694	0.00456786010717	0.112835743364
ti|1379686	0.00121587108276	0.000807421502256	143.0	0.000807421502256	0.0	0.00172536573091	0.000887210936701	157.131267366	0.0	0.0367179162879
ti|316	0.000899180080339	0.000976810628603	173.0	0.000976810628603	0.0	0.000605233273715	0.000666959070642	118.123120124	0.000621093463274	0.000801775198044
ti|511145	0.00068919601662	0.000530752595888	94.0	0.000513813683254	1.69389126347e-05	0.000176984753662	9.92856775295e-05	17.5841884902	3.38778252695e-05	0.00153579474555
ti|267747	0.000657964954741	0.000451704336926	80.0	0.000451704336926	0.0	0.000463557043325	0.00032553632496	57.6547619048	0.000276668906367	0.000124218692655
ti|525260	0.00042822974563	0.000259729993733	46.0	0.000259729993733	0.0	0.00062178699237	0.000343166130453	60.7771238661	0.000112926084232	0.00140592974868
ti|1095770	0.000392653849622	0.000338778252695	60.0	0.000338778252695	0.0	0.000239474420382	0.000259801855786	46.0127272727	0.000225852168463	0.000112926084232
ti|680646	0.000272082357684	0.000191974343194	34.0	0.000191974343194	0.0	0.000213520802426	0.000164872082978	29.2	0.000152450213713	3.38778252695e-05
ti|470	0.000255132733952	0.000293607819002	52.0	0.000271022602156	2.25852168463e-05	0.000911068375931	0.00039731721373	70.367659772	3.9524129481e-05	0.0121395540549
ti|194867	0.000243113581654	0.000169389126347	30.0	0.000163742822136	5.64630421158e-06	0.00148472075956	0.000748719567142	132.603476378	0.0	0.00886469761218
ti|122586	0.000240697103454	0.000282315210579	50.0	0.000282315210579	0.0	5.65178225673e-05	7.34523320947e-05	13.0089221803	3.9524129481e-05	0.000124218692655
ti|889204	0.00023772013972	0.000180681734771	32.0	0.000180681734771	0.0	3.69108750537e-05	3.71625898957e-05	6.58175480866	2.82315210579e-05	0.00010727978002
ti|80878	0.00021421777109	0.000152450213713	27.0	0.000152450213713	0.0	6.85166052024e-05	4.02130052037e-05	7.12200471262	1.69389126347e-05	0.000378302382176
ti|1194526	0.000211262431161	0.000146803909501	26.0	0.000146803909501	0.0	0.00018760241829	0.000144476107527	25.5877299758	6.77556505389e-05	0.000694495418024
ti|1194083	0.000177113498616	0.000197620647405	35.0	0.000197620647405	0.0	0.000258418541205	0.00032221445191	57.0664349344	0.000434765424292	2.25852168463e-05
ti|172088	0.0001685422889	0.000129864996866	23.0	0.000129864996866	0.0	2.08902104836e-05	1.35796765709e-05	2.40505577844	5.64630421158e-06	7.90482589621e-05
ti|1206725	0.000152893578566	0.0101464086682	1797.0	0.0101464086682	0.0	0.0316773733905	0.0227477044949	4028.77769998	0.00709740439395	0.0843388460083
ti|1692501	0.000150388993869	0.000146803909501	26.0	0.000146803909501	0.0	4.8136934752e-05	3.72000194142e-05	6.58838383838	2.25852168463e-05	6.77556505389e-05
ti|1736496	0.000133213620074	0.000400887599022	71.0	0.000400887599022	0.0	9.73721924473e-05	0.000224203331365	39.707979408	0.000191974343194	8.46945631737e-05
ti|261164	0.000129024079309	0.000163742822136	29.0	0.000152450213713	1.12926084232e-05	0.0111046363076	0.00578445547984	1024.46755667	2.25852168463e-05	0.0443347806693
ti|272623	0.000105554372189	6.77556505389e-05	12.0	6.77556505389e-05	0.0	4.78681915993e-05	3.64147081701e-05	6.44929971989	2.25852168463e-05	5.64630421158e-05
ti|571	0.000104442659708	6.77556505389e-05	12.0	6.77556505389e-05	0.0	0.000141591301351	7.21811008196e-05	12.7837782229	0.0	0.00195362125721
ti|399739	0.000101502683061	0.000141157605289	25.0	0.000141157605289	0.0	0.000110439316337	0.000105253995366	18.6412193572	9.03408673853e-05	0.000265376297944
ti|525264	8.7860896557e-05	7.90482589621e-05	14.0	7.90482589621e-05	0.0	0.000273153584929	0.000169790678847	30.0711177586	4.51704336926e-05	0.000988103237026
ti|887898	8.07542493629e-05	5.08167379042e-05	9.0	5.08167379042e-05	0.0	7.13206396029e-05	4.20213823441e-05	7.44228096281	3.38778252695e-05	0.000304900427425
ti|871203	7.45975544584e-05	5.08167379042e-05	9.0	4.51704336926e-05	5.64630421158e-06	0.000243449477935	5.86223190185e-05	10.3824230544	0.0	0.00169389126347
ti|1265504	6.9235717081e-05	0.000135511301078	24.0	0.000135511301078	0.0	7.62740662663e-05	0.000139675346168	24.7374815338	0.000135511301078	0.000299254123214
ti|1267562	6.52342723362e-05	5.64630421158e-05	10.0	2.82315210579e-05	2.82315210579e-05	4.48827328192e-05	3.39230310408e-05	6.00800625854	2.25852168463e-05	0.00064367868012
ti|997889	6.18407416452e-05	5.08167379042e-05	9.0	5.08167379042e-05	0.0	4.47599506644e-05	3.73319090959e-05	6.61174242424	3.38778252695e-05	1.69389126347e-05
ti|402626	5.57963298942e-05	2.25852168463e-05	4.0	2.25852168463e-05	0.0	3.1582147609e-05	1.79033239884e-05	3.17080400161	5.64630421158e-06	0.000558984116946
ti|358	5.52795561071e-05	6.21093463274e-05	11.0	5.64630421158e-05	5.64630421158e-06	2.27744865712e-05	2.02975858569e-05	3.59484453836	1.12926084232e-05	4.51704336926e-05
