Total Number of Aligned Reads:	69222	Total Number of Mapped Genomes:	4273
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1197720	0.633510311817	0.263196671578	18219.0	0.263196671578	0.0	0.113286379501	0.0472918445163	3273.63606111	0.0051862124758	0.255005634047
ti|1292035	0.287427244245	0.0922683539915	6387.0	0.0922683539915	0.0	0.0494965547083	0.0187904095162	1300.70972753	0.000361156857646	0.212490248765
ti|214688	0.0393207707177	0.0192135448268	1330.0	0.0192135448268	0.0	0.0124883647244	0.0073656401682	509.864343723	0.00671751755222	0.0108347057294
ti|1313292	0.0102257349385	0.00436277484037	302.0	0.00436277484037	0.0	0.00155277984737	0.000661259184441	45.7736832654	0.000101123920141	0.00910115281269
ti|267747	0.00428119723874	0.00199358585421	138.0	0.00199358585421	0.0	0.00300014803347	0.00151782188707	105.066666667	0.00121348704169	0.000693421166681
ti|1379686	0.00425081134366	0.00164687527087	114.0	0.00164687527087	0.0	0.00541340534162	0.00205823198318	142.47493434	0.0	0.0853341423247
ti|1308	0.00239491532658	0.00108347057294	75.0	0.00108347057294	0.0	0.000402291074698	0.000208587428879	14.4388390019	0.0	0.000982346652798
ti|316	0.0022672098714	0.00183467683684	127.0	0.00182023056254	1.44462743059e-05	0.000910006700217	0.00106409054569	73.6584757536	0.000982346652798	0.000548958423623
ti|1236608	0.00186518213282	0.00106902429863	74.0	0.00106902429863	0.0	0.000836281064744	0.000545824973669	37.7830963273	0.000404495680564	0.000548958423623
ti|511145	0.00116373890663	0.000491173326399	34.0	0.000491173326399	0.0	0.00036058114028	0.000160766074098	11.1285491812	8.66776458351e-05	0.000548958423623
ti|1367477	0.000837143630296	0.000361156857646	25.0	0.000361156857646	0.0	0.000250134783821	0.000113157151455	7.83296433803	8.66776458351e-05	0.0002455866632
ti|525260	0.00064153887012	0.000361156857646	25.0	0.000361156857646	0.0	0.000328562826997	0.000157086723552	10.8738571777	0.000115570194447	0.000260032937505
