Total Number of Aligned Reads:	116744	Total Number of Mapped Genomes:	4827
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1197720	0.422104803728	0.19792880148	23107.0	0.19792880148	0.0	0.0723664735107	0.0358697561379	4187.57881057	0.00417152059206	0.19109333242
ti|883103	0.237936476701	0.149052627972	17401.0	0.149052627972	0.0	0.223009641307	0.143686475845	16774.5339361	0.141232097581	0.00773487288426
ti|1121368	0.169718243565	0.0933752484068	10901.0	0.0933666826561	8.56575070239e-06	0.146450995058	0.0851456235694	9940.24067799	0.0806893716165	0.0124717330227
ti|1292035	0.120950824761	0.0484478859727	5656.0	0.0484478859727	0.0	0.0303568815522	0.0135614128279	1583.21357919	0.000197012266155	0.140572534777
ti|214688	0.0195871562726	0.0120091824848	1402.0	0.0120091824848	0.0	0.00672189929939	0.00495832873411	578.855129734	0.00455697937367	0.00636435277188
ti|1313292	0.00605647848623	0.00324641951621	379.0	0.00324641951621	0.0	0.000810524943613	0.000463749902874	54.1400186611	7.70917563215e-05	0.00650140478312
ti|1256908	0.0043991773264	0.00474542588912	554.0	0.00474542588912	0.0	0.00215870059002	0.00227706206172	265.833333333	0.00260398821353	0.00167032138697
ti|316	0.0038669489771	0.00431713835401	504.0	0.00431713835401	0.0	0.00325439799683	0.00382674011909	446.748948463	0.00376893030905	0.000316932775988
ti|1379686	0.00231956119168	0.00102789008429	120.0	0.00102789008429	0.0	0.00250819564273	0.00114291311343	133.428248515	0.0	0.0465462893168
ti|161896	0.00130906047659	0.000728088809703	85.0	0.000728088809703	0.0	0.00173694560787	0.000716941774919	83.6986505711	0.0	0.00558486945796
ti|1236608	0.00114776661091	0.00082231206743	96.0	0.00082231206743	0.0	0.000632087570603	0.000462973447953	54.0493722079	0.000368327280203	0.000368327280203
ti|267747	0.00111020230267	0.000650997053382	76.0	0.000650997053382	0.0	0.000805071140959	0.000488961602595	57.0833333333	0.000402590283012	0.000197012266155
ti|511145	0.000639369537343	0.000308367025286	36.0	0.000308367025286	0.0	0.00021981956577	0.000102386190969	11.9529734784	4.2828753512e-05	0.000316932775988
ti|80878	0.000573567552499	0.000282669773179	33.0	0.000282669773179	0.0	0.000111412058734	6.47689688454e-05	7.56138849889	4.2828753512e-05	0.000171315014048
ti|1177179	0.000567777878157	0.00194442540944	227.0	0.00194442540944	0.0	0.0021036039742	0.00323485575276	377.65	0.00370040430343	0.00151613787432
ti|1206725	0.000497157058631	0.00483108339615	564.0	0.00483108339615	0.0	0.070944302713	0.0340284074231	3972.6123962	0.00315219625848	0.1859710135
ti|176280	0.000425275539471	0.000316932775988	37.0	0.000316932775988	0.0	9.84200275251e-05	7.07720870457e-05	8.26221653006	3.42630028096e-05	0.00021414376756
ti|1223515	0.00038713734264	0.00021414376756	25.0	0.00021414376756	0.0	0.000971012536627	0.000393356879621	45.9220555545	0.0	0.00195299116015
ti|365659	0.000351117132301	0.000231275268965	27.0	0.000231275268965	0.0	8.02083952497e-05	5.61764602617e-05	6.5582646768	3.42630028096e-05	0.000222709518262
ti|208964	0.000273770285589	0.000154183512643	18.0	0.000154183512643	0.0	0.000158338976247	7.84969109358e-05	9.16404337029	6.85260056191e-05	0.000128486260536
ti|1538295	0.000260348951319	0.000137052011238	16.0	0.000137052011238	0.0	9.60715615552e-05	5.51207257384e-05	6.4350140056	3.42630028096e-05	9.42232577263e-05
ti|172088	0.000225759043315	0.000137052011238	16.0	0.000137052011238	0.0	4.36016956751e-05	2.49757186813e-05	2.91576530173	8.56575070239e-06	9.42232577263e-05
ti|1219050	0.000207801995483	0.000119920509833	14.0	0.000119920509833	0.0	3.86374222488e-05	2.77170781763e-05	3.23580257462	1.71315014048e-05	8.56575070239e-05
ti|1736245	0.000191523168671	0.000119920509833	14.0	0.000119920509833	0.0	3.87517373117e-05	1.76023050482e-05	2.05496350055	8.56575070239e-06	8.56575070239e-05
ti|270351	0.000180573564543	0.000128486260536	15.0	0.000128486260536	0.0	0.000114255119454	7.55927499486e-05	8.825	5.99602549167e-05	4.2828753512e-05
ti|465515	0.000179283225439	0.000119920509833	14.0	0.000119920509833	0.0	7.0187404931e-05	3.73551016043e-05	4.36098398169	8.56575070239e-06	8.56575070239e-05
ti|470	0.0001611042484	0.000102789008429	12.0	0.000102789008429	0.0	0.000238794429982	0.000118178510151	13.7966319891	1.71315014048e-05	0.00188446515453
ti|281309	0.000140188594975	0.000137052011238	16.0	0.000137052011238	0.0	8.34800634127e-05	6.07044005137e-05	7.08687453358	5.13945042143e-05	0.000205578016857
